Gender,Height,Weight,identifier,entry_dt
1,"73,84701702","241,8935632",A001,01-20-17
1,"68,78190405","162,3104725",A002,01-20-17
1,"74,11010539","212,7408556",A003,01-20-17
1,"71,7309784","220,0424703",A004,01-20-17
1,"69,88179586","206,3498006",A005,01-20-17
1,"67,25301569","152,2121558",A006,01-20-17
1,"68,78508125","183,9278886",A007,01-20-17
1,"68,34851551","167,9711105",A008,01-20-17
1,"67,01894966","175,9294404",A009,01-20-17
1,"63,45649398","156,3996764",A010,01-20-17
1,"71,19538228","186,6049256",A011,01-20-17
1,"71,64080512","213,7411695",A012,01-20-17
1,"64,76632913","167,1274611",A013,01-20-17
1,"69,2830701","189,4461814",A014,01-20-17
1,"69,24373223","186,434168",A015,01-20-17
1,"67,6456197","172,1869301",A016,01-20-17
1,"72,41831663","196,0285063",A017,01-20-17
1,"63,97432572","172,8834702",A018,01-20-17
1,"69,6400599","185,9839576",A019,01-20-17
1,"67,93600485","182,426648",A020,01-20-17
1,"67,91505019","174,1159291",A021,01-20-17
1,"69,43943987","197,7314216",A022,01-20-17
1,"66,14913196","149,173566",A023,01-20-17
1,"75,20597361","228,7617806",A024,01-20-17
1,"67,89319634","162,0066518",A025,01-20-17
1,"68,1440328","192,3439766",A026,01-20-17
1,"69,08963143","184,4351744",A027,01-20-17
1,"72,80084352","206,8281894",A028,01-20-17
1,"67,42124228","175,2139224",A029,01-20-17
1,"68,49641536","154,3426389",A030,01-20-17
1,"68,61811055","187,5068432",A031,01-20-17
1,"74,03380762","212,9102253",A032,01-20-17
1,"71,52821604","195,0322432",A033,01-20-17
1,"69,1801611","205,1836213",A034,01-20-17
1,"69,57720237","204,1641255",A035,01-20-17
1,"70,40092889","192,9035151",A036,01-20-17
1,"69,07617117","197,4882426",A037,01-20-17
1,"67,19352328","183,8109732",A038,01-20-17
1,"65,80731565","163,8518249",A039,01-20-17
1,"64,30418789","163,1080171",A040,01-20-17
1,"67,97433623","172,1355974",A041,01-20-17
1,"72,18942596","194,0454049",A042,01-20-17
1,"65,27034552","168,6177462",A043,01-20-17
1,"66,09017738","161,1934326",A044,01-20-17
1,"67,51032152","164,6602773",A045,01-20-17
1,"70,10478626","188,9223032",A046,01-20-17
1,"68,25183644","187,0605522",A047,01-20-17
1,"72,17270912","209,0708634",A048,01-20-17
1,"69,17985762","192,0143354",A049,01-20-17
1,"72,87036015","211,3424968",A050,01-20-17
1,"64,78258298","165,6116262",A051,01-20-17
1,"70,18354989","201,0719181",A052,01-20-17
1,"68,49145025","173,4239603",A053,01-20-17
1,"67,33083088","181,4076793",A054,01-20-17
1,"66,99094408","169,7377074",A055,01-20-17
1,"66,4995499","163,3095283",A056,01-20-17
1,"68,35305665","189,7102099",A057,01-20-17
1,"70,77445907","192,1248473",A058,01-20-17
1,"71,21592367","198,1984641",A059,01-20-17
1,"70,01336535","209,5264998",A060,01-20-17
1,"71,40318222","198,7597927",A061,01-20-17
1,"69,55200509","198,0795237",A062,01-20-17
1,"73,81853456","195,2906122",A063,01-20-17
1,"66,99688275","164,943303",A064,01-20-17
1,"71,41846589","179,8639023",A065,01-20-17
1,"65,27930021","155,2504207",A066,01-20-17
1,"68,27419147","184,5193912",A067,01-20-17
1,"72,76536995","220,6780415",A068,01-20-17
1,"68,0993798","183,3126553",A069,01-20-17
1,"68,89670607","196,4513123",A070,01-20-17
1,"69,28950996","184,5956083",A071,01-20-17
1,"70,52322452","207,5328385",A072,01-20-17
1,"69,66372523","177,2009288",A073,01-20-17
1,"67,59526881","163,1080022",A074,01-20-17
