Historia_de_Crédito,Dívida,Garantia,Renda,Risco
Ruim,Alta,Nenhuma,baixa,Alto
Desconhecida,Alta,Nenhuma,media,Alto
Desconhecida,Baixa,Nenhuma,media,Moderado
Desconhecida,Baixa,Nenhuma,baixa,Alto
Desconhecida,Baixa,Nenhuma,alta,Baixo
Desconhecida,Baixa,Adequada,alta,Baixo
Ruim,Baixa,Nenhuma,baixa,Alto
Ruim,Baixa,Adequada,alta,Moderado
Boa,Baixa,Nenhuma,alta,Baixo
Boa,Alta,Adequada,alta,Baixo
Boa,Alta,Nenhuma,baixa,Alto
Boa,Alta,Nenhuma,media,Moderado
Boa,Alta,Nenhuma,alta,baixo
Ruim,Alta,Nenhuma,media,Alto
